line_id,order_id,product_key,customer_id,bill_to_city_key,ship_to_city_key,flag_key,order_date,quantity,price,cost,discount,line_total
L00033,ORD00033,16,1005,20,12,13,6/4/2026,8,158.95,100.14,0.05,1271.6
L00034,ORD00034,16,1059,3,19,4,26-02-2025,6,158.95,106.5,0.1,953.7
L00020,ORD00020,25,1007,1,1,3,23-03-2025,4,394.16,279.85,0,1576.64
L00028,ORD00028,25,1055,5,17,9,17-03-2025,10,394.16,248.32,0.1,3941.6
L00063,ORD00063,17,1060,10,2,10,8/10/2025,7,636.11,400.75,0.05,4452.77
L00069,ORD00069,30,1004,8,4,13,2/4/2025,3,237.5,159.12,0.05,712.5
L00050,ORD00050,30,1024,11,11,5,14-12-2025,2,237.5,168.63,0,475
L00021,ORD00021,19,1029,4,8,6,13-02-2025,4,424.1,233.26,0.05,1696.4
L00010,ORD00010,20,1040,11,11,4,28-12-2025,7,727.47,516.5,0.1,5092.29
L00014,ORD00014,20,1035,3,19,5,13-12-2025,3,727.47,487.4,0,2182.41
L00035,ORD00035,20,1034,6,6,10,18-10-2025,1,727.47,516.5,0,727.47
L00047,ORD00047,20,1055,2,10,10,21-04-2025,5,727.47,429.21,0,3637.35
L00022,ORD00022,22,1043,7,15,8,15-10-2026,2,203.17,119.87,0.1,406.34
L00048,ORD00048,24,1026,5,17,3,22-02-2025,9,674.32,424.82,0.15,6068.88
L00054,ORD00054,24,1044,3,19,8,23-04-2025,6,674.32,451.79,0.15,4045.92
L00029,ORD00029,39,1005,8,4,13,18-07-2026,1,545.07,365.2,0,545.07
L00009,ORD00009,27,1039,8,4,13,3/7/2026,3,683.87,458.19,0.05,2051.61
L00018,ORD00018,27,1012,15,7,14,24-05-2026,9,683.87,430.84,0.15,6154.83
L00030,ORD00030,56,1015,11,11,5,5/5/2025,2,98.48,69.92,0.15,196.96
L00012,ORD00012,31,1025,17,5,9,18-01-2026,4,617.05,364.06,0.15,2468.2
L00064,ORD00064,37,1019,13,9,3,13-02-2025,4,191.04,128,0.1,764.16
L00073,ORD00073,32,1048,20,12,13,12/12/2025,3,679.53,428.1,0,2038.59
L00052,ORD00052,49,1009,17,5,3,2/12/2025,6,234.4,138.3,0.1,1406.4
L00024,ORD00024,55,1025,13,9,3,4/8/2026,6,230.05,154.13,0.15,1380.3
L00013,ORD00013,55,1043,20,12,6,6/10/2026,4,230.05,144.93,0,920.2
L00041,ORD00041,46,1030,4,8,6,28-07-2025,4,837.09,460.4,0,3348.36
L00023,ORD00023,60,1055,10,2,7,15-09-2026,8,184.56,116.27,0,1476.48
L00016,ORD00016,59,1033,9,13,9,12/2/2026,1,659.47,362.71,0.1,659.47
L00039,ORD00039,59,1057,18,14,11,5/10/2026,4,659.47,441.84,0.05,2637.88
L00077,ORD00077,54,1020,12,20,12,13-06-2025,2,655.17,386.55,0,1310.34
L00040,ORD00040,45,1016,1,1,9,20-02-2026,10,481.99,342.21,0.1,4819.9
L00078,ORD00078,53,1045,15,7,4,1/5/2025,1,261.45,164.71,0.15,261.45
L00042,ORD00042,26,1049,7,15,5,15-01-2026,4,897.63,529.6,0.15,3590.52
L00045,ORD00045,25,1030,16,16,6,26-05-2026,8,394.16,279.85,0.05,3153.28
L00046,ORD00046,35,1014,19,3,5,21-08-2026,6,689.34,379.14,0.1,4136.04
L00049,ORD00049,57,1029,8,4,13,18-07-2026,8,378.83,253.82,0,3030.64
L00053,ORD00053,59,1054,20,12,6,6/6/2026,4,659.47,415.47,0,2637.88
L00055,ORD00055,27,1017,6,6,10,16-08-2026,1,683.87,485.55,0,683.87
L00056,ORD00056,37,1047,9,13,9,27-09-2026,4,191.04,105.07,0,764.16
L00058,ORD00058,4,1050,15,7,4,19-09-2026,5,648.68,408.67,0.1,3243.4
L00065,ORD00065,32,1013,16,16,13,6/7/2026,9,679.53,482.47,0,6115.77
L00067,ORD00067,19,1007,2,10,7,28-02-2026,8,424.1,250.22,0,3392.8
L00068,ORD00068,47,1027,5,17,3,31-10-2026,8,645.96,406.95,0,5167.68
L00071,ORD00071,13,1037,14,18,10,10/9/2026,3,76.56,42.11,0,229.68
L00074,ORD00074,59,1058,3,19,4,20-02-2026,9,659.47,441.84,0,5935.23
L00076,ORD00076,34,1047,9,13,9,10/8/2026,1,654.05,359.73,0.1,654.05
L00079,ORD00079,49,1010,18,14,10,11/4/2026,1,234.4,157.05,0,234.4
L00080,ORD00080,27,1044,1,1,3,3/9/2026,3,683.87,485.55,0,2051.61
L00082,ORD00071,7,1037,14,18,10,10/9/2026,3,260.92,153.94,0.1,782.76
L00083,ORD00065,1,1013,16,16,13,6/7/2026,4,220.9,139.17,0,883.6
L00084,ORD00026,33,1048,19,3,8,10/7/2025,8,274.75,184.08,0.15,2198
L00085,ORD00074,null,1058,3,19,4,20-02-2026,1,19.5,13.85,0,19.5
L00086,ORD00069,40,1004,8,4,13,2/4/2025,10,336.24,184.93,0,3362.4
L00087,ORD00020,59,1007,1,1,3,23-03-2025,8,659.47,389.09,0.05,5275.76
L00088,ORD00022,43,1043,7,15,8,15-10-2026,8,880.52,554.73,0.1,7044.16
L00089,ORD00042,4,1049,7,15,5,15-01-2026,1,648.68,434.62,0,648.68
L00090,ORD00067,35,1007,2,10,7,28-02-2026,9,689.34,489.43,0.15,6204.06
L00091,ORD00057,27,1008,12,20,6,15-07-2025,1,683.87,376.13,0,683.87
L00092,ORD00015,4,1005,6,6,7,14-04-2026,9,648.68,382.72,0,5838.12
L00093,ORD00027,47,1046,2,10,10,2/4/2026,5,645.96,406.95,0.05,3229.8
L00094,ORD00075,35,1021,6,6,10,12/9/2025,5,689.34,461.86,0.1,3446.7
L00095,ORD00063,4,1060,10,2,10,8/10/2025,9,648.68,460.56,0,5838.12
L00096,ORD00012,53,1025,17,5,9,18-01-2026,7,261.45,143.8,0.15,1830.15
L00097,ORD00066,52,1038,19,3,8,3/9/2025,3,42.8,25.25,0,128.4
L00098,ORD00058,null,1050,15,7,4,19-09-2026,2,129,81.27,0,258
L00099,ORD00008,34,1016,5,17,3,5/11/2025,3,654.05,438.21,0.05,1962.15
L00100,ORD00059,18,1036,18,14,7,29-11-2025,4,576.96,409.64,0.1,2307.84
L00101,ORD00017,40,1056,12,20,6,6/12/2025,9,336.24,184.93,0,3026.16
L00102,ORD00066,19,1038,19,3,8,3/9/2025,6,424.1,250.22,0.15,2544.6
L00103,ORD00054,3,1044,3,19,8,23-04-2025,7,624.02,393.13,0,4368.14
L00104,ORD00059,8,1036,18,14,7,29-11-2025,6,105.46,70.66,0,632.76
L00105,ORD00073,26,1048,20,12,13,12/12/2025,8,897.63,637.32,0.05,7181.04
L00106,ORD00008,37,1016,5,17,3,5/11/2025,4,191.04,105.07,0.1,764.16
L00107,ORD00072,45,1018,17,5,3,17-07-2025,4,481.99,284.37,0,1927.96
L00108,ORD00060,20,1035,1,1,3,29-12-2025,2,727.47,458.31,0.15,1454.94
L00109,ORD00040,42,1016,1,1,9,20-02-2026,1,84.7,56.75,0,84.7
L00110,ORD00003,8,1054,10,2,2,24-03-2026,7,105.46,74.88,0,738.22
L00111,ORD00051,25,1003,14,18,10,21-05-2025,7,394.16,216.79,0.05,2759.12
L00112,ORD00033,36,1005,20,12,13,6/4/2026,8,568.39,335.35,0.1,4547.12
L00113,ORD00001,null,1052,4,8,6,12/9/2026,1,410,258.3,0,410
L00114,ORD00028,45,1055,5,17,9,17-03-2025,3,481.99,322.93,0.15,1445.97
L00115,ORD00075,8,1021,6,6,10,12/9/2025,8,105.46,74.88,0,843.68
L00116,ORD00010,55,1040,11,11,4,28-12-2025,7,230.05,126.53,0,1610.35
L00117,ORD00006,42,1059,19,3,5,29-04-2026,6,84.7,49.97,0.05,508.2
L00118,ORD00055,37,1017,6,6,10,16-08-2026,2,191.04,120.36,0.1,382.08
L00119,ORD00045,58,1030,16,16,6,26-05-2026,9,593.31,397.52,0,5339.79
L00120,ORD00009,59,1039,8,4,13,3/7/2026,1,659.47,468.22,0.15,659.47
L00121,ORD00070,17,1060,11,11,5,7/2/2025,4,636.11,349.86,0,2544.44
L00122,ORD00008,58,1016,5,17,3,5/11/2025,10,593.31,350.05,0,5933.1
L00123,ORD00009,31,1039,8,4,13,3/7/2026,5,617.05,388.74,0.05,3085.25
L00124,ORD00061,5,1016,4,8,12,13-10-2025,2,412.55,276.41,0.1,825.1
L00125,ORD00005,44,1021,16,16,1,12/4/2025,5,598.88,425.2,0,2994.4
L00126,ORD00037,58,1058,12,20,13,12/9/2026,9,593.31,326.32,0.15,5339.79
L00127,ORD00053,37,1054,20,12,6,6/6/2026,1,191.04,112.71,0,191.04
L00128,ORD00024,14,1025,13,9,3,4/8/2026,6,886.92,558.76,0,5321.52
L00129,ORD00018,4,1012,15,7,14,24-05-2026,4,648.68,434.62,0.05,2594.72
L00130,ORD00054,38,1044,3,19,8,23-04-2025,3,858.85,609.78,0.1,2576.55
L00131,ORD00048,49,1026,5,17,3,22-02-2025,7,234.4,128.92,0,1640.8
L00132,ORD00049,60,1029,8,4,13,18-07-2026,2,184.56,108.89,0.15,369.12
L00133,ORD00058,20,1050,15,7,4,19-09-2026,3,727.47,458.31,0,2182.41
L00134,ORD00049,37,1029,8,4,13,18-07-2026,4,191.04,128,0,764.16
L00135,ORD00049,37,1029,8,4,13,18-07-2026,7,191.04,135.64,0.05,1337.28
L00136,ORD00011,44,1034,14,18,10,12/7/2026,9,598.88,329.38,0.1,5389.92
L00137,ORD00070,22,1060,11,11,5,7/2/2025,7,203.17,119.87,0,1422.19
L00138,ORD00018,49,1012,15,7,14,24-05-2026,3,234.4,147.67,0.15,703.2
L00139,ORD00045,51,1030,16,16,6,26-05-2026,2,641.44,429.76,0,1282.88
L00140,ORD00016,33,1033,9,13,9,12/2/2026,6,274.75,195.07,0,1648.5
L00141,ORD00023,6,1055,10,2,7,15-09-2026,2,686.54,377.6,0.05,1373.08
L00142,ORD00069,28,1004,8,4,13,2/4/2025,4,156.58,92.38,0.1,626.32
L00143,ORD00051,54,1003,14,18,10,21-05-2025,2,655.17,412.76,0,1310.34
L00144,ORD00068,22,1027,5,17,3,31-10-2026,10,203.17,136.12,0.15,2031.7
L00145,ORD00017,50,1056,12,20,6,6/12/2025,10,505.22,358.71,0,5052.2
L00146,ORD00029,39,1005,8,4,13,18-07-2026,7,545.07,299.79,0,3815.49
L00147,ORD00001,50,1052,4,8,6,12/9/2026,6,505.22,298.08,0.05,3031.32
L00148,ORD00003,4,1054,10,2,2,24-03-2026,5,648.68,408.67,0.1,3243.4
L00149,ORD00039,51,1057,18,14,11,5/10/2026,8,641.44,429.76,0,5131.52
L00150,ORD00060,32,1035,1,1,3,29-12-2025,4,679.53,482.47,0.15,2718.12
L00151,ORD00070,23,1060,11,11,5,7/2/2025,9,583.92,321.16,0,5255.28
L00152,ORD00055,25,1017,6,6,10,16-08-2026,7,394.16,232.55,0,2759.12
L00153,ORD00069,14,1004,8,4,13,2/4/2025,10,886.92,558.76,0.05,8869.2
L00154,ORD00049,43,1029,8,4,13,18-07-2026,7,880.52,589.95,0.1,6163.64
L00155,ORD00030,8,1015,11,11,5,5/5/2025,10,105.46,74.88,0,1054.6
L00156,ORD00032,2,1046,17,5,9,6/5/2026,4,694.96,382.23,0.15,2779.84
L00157,ORD00059,46,1036,18,14,7,29-11-2025,2,837.09,493.88,0,1674.18
L00158,ORD00045,8,1030,16,16,6,26-05-2026,5,105.46,66.44,0,527.3
L00159,ORD00020,12,1007,1,1,3,23-03-2025,7,798.62,535.08,0.05,5590.34
L00160,ORD00036,46,1035,9,13,9,6/4/2025,3,837.09,594.33,0.1,2511.27
L00161,ORD00025,48,1037,16,16,6,21-05-2025,7,345.48,190.01,0,2418.36
L00162,ORD00015,21,1005,6,6,7,14-04-2026,6,823.13,485.65,0.15,4938.78
L00163,ORD00005,9,1021,16,16,1,12/4/2025,2,319.4,201.22,0,638.8
L00164,ORD00054,1,1044,3,19,8,23-04-2025,5,220.9,148,0,1104.5
L00165,ORD00079,29,1010,18,14,10,11/4/2026,6,355.52,252.42,0.05,2133.12
L00166,ORD00003,49,1054,10,2,2,24-03-2026,5,234.4,128.92,0.1,1172
L00167,ORD00031,9,1037,14,18,7,13-01-2026,3,319.4,188.45,0,958.2
L00168,ORD00027,8,1046,2,10,10,2/4/2026,3,105.46,66.44,0.15,316.38
L00169,ORD00009,28,1039,8,4,13,3/7/2026,8,156.58,104.91,0,1252.64
L00170,ORD00013,36,1043,20,12,6,6/10/2026,9,568.39,403.56,0,5115.51
L00171,ORD00077,33,1020,12,20,12,13-06-2025,7,274.75,151.11,0.05,1923.25
L00172,ORD00005,9,1021,16,16,1,12/4/2025,1,319.4,188.45,0.1,319.4
L00173,ORD00058,8,1050,15,7,4,19-09-2026,6,105.46,66.44,0,632.76
L00174,ORD00077,36,1020,12,20,12,13-06-2025,2,568.39,380.82,0.15,1136.78
L00175,ORD00007,39,1058,2,10,2,23-03-2025,10,545.07,387,0,5450.7
L00176,ORD00032,51,1046,17,5,9,6/5/2026,6,641.44,352.79,0,3848.64
L00177,ORD00006,56,1059,19,3,5,29-04-2026,7,98.48,58.1,0.05,689.36
L00178,ORD00052,1,1009,17,5,3,2/12/2025,5,220.9,139.17,0.1,1104.5
L00179,ORD00057,27,1008,12,20,6,15-07-2025,7,683.87,458.19,0,4787.09
L00180,ORD00030,50,1015,11,11,5,5/5/2025,2,505.22,358.71,0.15,1010.44
L00181,ORD00070,47,1060,11,11,5,7/2/2025,9,645.96,355.28,0,5813.64
L00182,ORD00028,58,1055,5,17,9,17-03-2025,4,593.31,350.05,0,2373.24
L00183,ORD00008,37,1016,5,17,3,5/11/2025,9,191.04,120.36,0.05,1719.36
L00184,ORD00018,13,1012,15,7,14,24-05-2026,7,76.56,51.3,0.1,535.92
L00185,ORD00065,13,1013,16,16,13,6/7/2026,3,76.56,54.36,0,229.68
L00186,ORD00038,3,1050,15,7,5,14-08-2026,5,624.02,343.21,0.15,3120.1
L00187,ORD00030,3,1015,11,11,5,5/5/2025,8,624.02,368.17,0,4992.16
L00188,ORD00074,12,1058,3,19,4,20-02-2026,2,798.62,503.13,0,1597.24
L00189,ORD00041,13,1030,4,8,6,28-07-2025,7,76.56,51.3,0.05,535.92
L00190,ORD00074,3,1058,3,19,4,20-02-2026,7,624.02,443.05,0.1,4368.14
L00191,ORD00077,20,1020,12,20,12,13-06-2025,8,727.47,400.11,0,5819.76
L00192,ORD00042,51,1049,7,15,5,15-01-2026,2,641.44,378.45,0.15,1282.88
L00193,ORD00031,24,1037,14,18,7,13-01-2026,5,674.32,424.82,0,3371.6
L00194,ORD00039,18,1057,18,14,11,5/10/2026,8,576.96,386.56,0,4615.68
L00195,ORD00019,39,1052,18,14,7,26-03-2025,10,545.07,387,0.05,5450.7
L00196,ORD00067,15,1007,2,10,7,28-02-2026,8,351.41,193.28,0.1,2811.28
L00197,ORD00029,9,1005,8,4,13,18-07-2026,3,319.4,188.45,0,958.2
L00198,ORD00053,20,1054,20,12,6,6/6/2026,1,727.47,458.31,0.15,727.47
L00199,ORD00039,26,1057,18,14,11,5/10/2026,6,897.63,601.41,0,5385.78
L00200,ORD00036,54,1035,9,13,9,6/4/2025,10,655.17,465.17,0,6551.7
